VV,VH,date,orbit,x,y
-11.677119119061466,-14.13342143420506,2020-05-10,DESCENDING,-44.35759600418841,-13.33903873812657
-8.009242501219733,-15.644375034169054,2020-05-15,DESCENDING,-44.35759600418841,-13.33903873812657
-7.280421494626567,-17.248216013785743,2020-05-22,DESCENDING,-44.35759600418841,-13.33903873812657
-5.464484156466733,-16.450440291395203,2020-05-27,DESCENDING,-44.35759600418841,-13.33903873812657
-8.250685386007582,-18.643565345446937,2020-06-03,DESCENDING,-44.35759600418841,-13.33903873812657
-6.257172165013608,-14.934106617926597,2020-06-08,DESCENDING,-44.35759600418841,-13.33903873812657
-8.448037580376347,-18.28766380679555,2020-06-15,DESCENDING,-44.35759600418841,-13.33903873812657
-12.793841860945678,-20.196260064967202,2020-06-20,DESCENDING,-44.35759600418841,-13.33903873812657
-11.661406236970818,-19.37004851663607,2020-06-27,DESCENDING,-44.35759600418841,-13.33903873812657
-9.604427696579283,-14.639737443741652,2020-07-02,DESCENDING,-44.35759600418841,-13.33903873812657
-10.719548921297406,-15.405680577502448,2020-07-09,DESCENDING,-44.35759600418841,-13.33903873812657
-7.831213289084403,-11.54630610057145,2020-07-14,DESCENDING,-44.35759600418841,-13.33903873812657
-10.350396725660552,-18.280159638432014,2020-07-21,DESCENDING,-44.35759600418841,-13.33903873812657
-10.237242014827554,-15.820414962904676,2020-07-26,DESCENDING,-44.35759600418841,-13.33903873812657
-7.55339317980845,-18.75986944136467,2020-08-02,DESCENDING,-44.35759600418841,-13.33903873812657
-7.453024186552178,-10.85375352048123,2020-08-07,DESCENDING,-44.35759600418841,-13.33903873812657
-9.036840878455823,-13.16398974859377,2020-08-14,DESCENDING,-44.35759600418841,-13.33903873812657
-15.194284688862751,-16.764180596275644,2020-08-19,DESCENDING,-44.35759600418841,-13.33903873812657
-7.191241802886491,-12.192196006072367,2020-08-26,DESCENDING,-44.35759600418841,-13.33903873812657
-6.487837690432147,-13.520149808506574,2020-08-31,DESCENDING,-44.35759600418841,-13.33903873812657
-7.051940780974659,-15.240256953077445,2020-09-07,DESCENDING,-44.35759600418841,-13.33903873812657
-8.340326369009812,-14.262071902362601,2020-09-12,DESCENDING,-44.35759600418841,-13.33903873812657
-9.147556206196876,-14.300706743738996,2020-09-19,DESCENDING,-44.35759600418841,-13.33903873812657
-7.960214521810121,-12.848773827411526,2020-09-24,DESCENDING,-44.35759600418841,-13.33903873812657
-9.744040880031498,-15.518905908931613,2020-10-01,DESCENDING,-44.35759600418841,-13.33903873812657
