VV,VH,date,orbit,x,y
-10.32203805558051,-14.739134598277717,2019-03-05,DESCENDING,-44.48587542676068,-13.557868341338086
-11.334491709898103,-16.387112858784135,2019-03-10,DESCENDING,-44.48587542676068,-13.557868341338086
-7.729829160174349,-19.00159856192332,2019-03-17,DESCENDING,-44.48587542676068,-13.557868341338086
-8.983861859989448,-14.78275499082405,2019-03-22,DESCENDING,-44.48587542676068,-13.557868341338086
-9.579855285546476,-12.40672146361634,2019-03-29,DESCENDING,-44.48587542676068,-13.557868341338086
-6.0354304272078165,-15.657673453598854,2019-04-03,DESCENDING,-44.48587542676068,-13.557868341338086
-10.785666176241568,-15.924150828102713,2019-04-10,DESCENDING,-44.48587542676068,-13.557868341338086
-6.526476546829264,-17.205851640083964,2019-04-15,DESCENDING,-44.48587542676068,-13.557868341338086
-7.0189647243822435,-14.622869111492598,2019-04-22,DESCENDING,-44.48587542676068,-13.557868341338086
-9.260165841906607,-14.850154637810604,2019-04-27,DESCENDING,-44.48587542676068,-13.557868341338086
-9.167399054648799,-18.224854158472766,2019-05-04,DESCENDING,-44.48587542676068,-13.557868341338086
-7.708609741040041,-16.865832997706846,2019-05-09,DESCENDING,-44.48587542676068,-13.557868341338086
-9.573524270026766,-16.31755514281736,2019-05-16,DESCENDING,-44.48587542676068,-13.557868341338086
-10.37574797760903,-19.022009961375726,2019-05-21,DESCENDING,-44.48587542676068,-13.557868341338086
-10.719810136520366,-17.560812870797516,2019-05-28,DESCENDING,-44.48587542676068,-13.557868341338086
-6.805367167684126,-21.37146982424337,2019-06-02,DESCENDING,-44.48587542676068,-13.557868341338086
-9.448506779879663,-15.914270242396853,2019-06-09,DESCENDING,-44.48587542676068,-13.557868341338086
-10.679903181934936,-18.633416424144873,2019-06-14,DESCENDING,-44.48587542676068,-13.557868341338086
-8.449976917092316,-14.64752066829531,2019-06-21,DESCENDING,-44.48587542676068,-13.557868341338086
-7.25012370347604,-17.295158514386543,2019-06-26,DESCENDING,-44.48587542676068,-13.557868341338086
-10.035114750588274,-18.493828684728694,2019-07-03,DESCENDING,-44.48587542676068,-13.557868341338086
-6.966064190975069,-17.273299184637068,2019-07-08,DESCENDING,-44.48587542676068,-13.557868341338086
-10.298773902909907,-14.863451921547215,2019-07-15,DESCENDING,-44.48587542676068,-13.557868341338086
-16.25674507411971,-16.40999757217862,2019-07-20,DESCENDING,-44.48587542676068,-13.557868341338086
-12.99779654153527,-12.556405523937658,2019-07-27,DESCENDING,-44.48587542676068,-13.557868341338086
-11.1739381892952,-15.8184785940035,2019-08-01,DESCENDING,-44.48587542676068,-13.557868341338086
-8.642268322696705,-15.964677582545185,2019-08-08,DESCENDING,-44.48587542676068,-13.557868341338086
-7.643390434730069,-15.193199261723574,2019-08-13,DESCENDING,-44.48587542676068,-13.557868341338086
-13.004747020360375,-19.464678446007625,2019-08-20,DESCENDING,-44.48587542676068,-13.557868341338086
-9.007447457884506,-13.559978541700579,2019-08-25,DESCENDING,-44.48587542676068,-13.557868341338086
-11.544521912899903,-18.690760079560704,2019-09-01,DESCENDING,-44.48587542676068,-13.557868341338086
-9.297641794954899,-19.836382068462434,2019-09-06,DESCENDING,-44.48587542676068,-13.557868341338086
-7.96800722675858,-14.558975175833165,2019-09-13,DESCENDING,-44.48587542676068,-13.557868341338086
-8.812068279765933,-14.337572473787347,2019-09-18,DESCENDING,-44.48587542676068,-13.557868341338086
-12.577191981630499,-17.918686097676932,2019-09-25,DESCENDING,-44.48587542676068,-13.557868341338086
-9.114579998660595,-11.560415099760501,2019-09-30,DESCENDING,-44.48587542676068,-13.557868341338086
-7.689090819108121,-14.241113189292818,2019-10-07,DESCENDING,-44.48587542676068,-13.557868341338086
-10.522829944328722,-16.431772239039184,2019-10-12,DESCENDING,-44.48587542676068,-13.557868341338086
-12.50096564029317,-17.82618829748922,2019-10-19,DESCENDING,-44.48587542676068,-13.557868341338086
