epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,0.8904882772561543,0.01,0:31:45,0.6157346028390597,0.18956761376009243
1,val,0.9038994121244588,0.01,0:42:14,0.6096504590243352,0.16650276152897558
