,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,211923,54692,17166,0,0,0,0
true_1,42671,328002,13822,0,0,0,0
true_2,1942,4091,23300,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,4845,2058,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
