,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,223448,59800,533,0,0,0,0
true_1,41258,342887,350,0,0,0,0
true_2,5514,1968,21851,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,71,6832,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
