,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,240137,43378,256,0,10,0,0
true_1,41436,342830,229,0,0,0,0
true_2,13138,1256,14939,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,2612,4291,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
