,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,235972,45533,2276,0,0,0,0
true_1,43129,341131,235,0,0,0,0
true_2,7717,1612,20004,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,5857,1046,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
