,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,236035,45677,2069,0,0,0,0
true_1,41389,342747,359,0,0,0,0
true_2,3514,1749,24070,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,6314,589,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
