epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,1.3976040688156097,0.0001,0:02:00,0.5534132903029164,0.1753813874587717
1,val,1.1957626578673648,0.0001,0:02:19,0.7117930487410663,0.24559979990461633
2,train,1.1096528941705779,0.0001,0:02:09,0.7371231477699015,0.26971313695814714
2,val,1.033630436000739,0.0001,0:02:36,0.7620172339572551,0.29109797643088414
3,train,0.9825528856746905,0.0001,0:01:53,0.7656003962101501,0.2900809230939041
3,val,0.9588860935613176,0.0001,0:02:12,0.7545480784812684,0.29984678806871407
4,train,0.8951929165373229,0.0001,0:01:51,0.7785140913325436,0.3243473734781663
4,val,0.8893881014794638,0.0001,0:02:12,0.766421899816781,0.328420838230139
5,train,0.8249567135130466,0.0001,0:01:57,0.7950540895743825,0.3608354915975147
5,val,0.8350712752987556,0.0001,0:02:16,0.7765014687570571,0.36031091763627354
6,train,0.7585339312035481,0.0001,0:01:49,0.8163706124242126,0.3897508899836542
6,val,0.814020831300827,0.0001,0:02:07,0.7769669907914272,0.3713402327215894
7,train,0.7034976018974591,0.0001,0:01:52,0.8356992752688204,0.404999807039162
7,val,0.7982157397868315,0.0001,0:02:10,0.7743660054263511,0.37909854359507933
8,train,0.6630774066762273,0.0001,0:01:54,0.8485822414517521,0.4199281674519196
8,val,0.7819476589390814,0.0001,0:02:13,0.778976233835011,0.3855921105841517
9,train,0.6277000185442899,0.0001,0:01:54,0.8610103091574928,0.4386312659029207
9,val,0.7763430573677029,0.0001,0:02:12,0.77685049933202,0.3860102226374507
10,train,0.6000653263089207,0.0001,0:01:50,0.8711594140502084,0.4563402302609926
10,val,0.7731329320110215,0.0001,0:02:08,0.7746079042123517,0.3875764562147524
11,train,0.5808731489899371,0.0001,0:01:55,0.8778687252113629,0.4716948619098229
11,val,0.7807788354647319,0.0001,0:02:13,0.7760269078883347,0.384483716101866
12,train,0.5640510208695665,0.0001,0:01:55,0.8844305649965499,0.48198882863048514
12,val,0.7829637267955913,0.0001,0:02:13,0.7683682155738984,0.3908546567700999
13,train,0.5521747787701646,0.0001,0:01:52,0.8892142373801616,0.49452387326304453
13,val,0.7855697427572719,0.0001,0:02:10,0.7691246383968094,0.3931640712985467
14,train,0.545618366982607,0.0001,0:01:52,0.8915810661962931,0.49766241874424055
14,val,0.7810607176347226,0.0001,0:02:10,0.77082368505731,0.3930738146922084
15,train,0.5332297024336456,0.0001,0:01:54,0.8971863254024157,0.5177670830879797
15,val,0.7801462100232507,0.0001,0:02:13,0.7740878461906079,0.3956284071032138
16,train,0.5211079746199425,0.0001,0:01:51,0.9030843285217108,0.5320626652921612
16,val,0.7795716231167169,0.0001,0:02:10,0.7717294849997641,0.3888704263695712
17,train,0.5029407489531974,5e-05,0:01:52,0.9122266083237518,0.5567396297908215
17,val,0.7767180468918448,5e-05,0:02:11,0.7758069970580607,0.39354870177806656
18,train,0.48787976527379345,5e-05,0:01:51,0.9201360153813455,0.5727504234024304
18,val,0.7836779996415809,5e-05,0:02:11,0.7741728047467553,0.39216075786703747
19,train,0.4809982630335958,5e-05,0:01:59,0.9234214671652243,0.5829355276705369
19,val,0.7859489759373417,5e-05,0:02:17,0.7712803198020635,0.4036363924980006
20,train,0.4759915447660152,5e-05,0:01:53,0.9259448903116231,0.6053956824487962
20,val,0.7931273460762004,5e-05,0:02:12,0.7720177528940425,0.408785251500603
