epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,0.9437596917152404,0.001,0:04:03,0.5096279144287109,0.19489269256591796
1,val,2.710141668319702,0.001,0:05:18,0.1611907958984375,0.07906712532043457
2,train,0.7263909721374512,0.001,0:03:48,0.5395365142822266,0.2591386318206787
2,val,1.4445735692977906,0.001,0:05:02,0.1430328369140625,0.061733014583587646
3,train,0.7006161499023438,0.001,0:03:48,0.5943769836425781,0.2652301074564457
3,val,1.8410308170318603,0.001,0:04:58,0.1666162109375,0.08288128614425659
4,train,0.688632361292839,0.001,0:03:52,0.5760779571533203,0.26072601847350596
4,val,2.558476753234863,0.001,0:05:01,0.16863525390625,0.0805280339717865
5,train,0.6327553981542587,0.001,0:03:52,0.6567166137695313,0.3159960387647152
5,val,1.7696585035324097,0.001,0:05:04,0.1575250244140625,0.07962796926498412
6,train,0.6162216597795487,0.001,0:03:50,0.6750524139404297,0.3242919187247753
6,val,1.801703805923462,0.001,0:05:01,0.2034112548828125,0.09263080954551697
7,train,0.5796708998084068,0.001,0:03:52,0.6941590118408203,0.3260765092074871
7,val,1.9356808710098266,0.001,0:05:04,0.16471343994140625,0.07906758427619934
