,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,215395,65808,2578,0,0,0,0
true_1,48088,336386,14,0,7,0,0
true_2,8161,2223,18228,0,721,0,0
true_3,0,0,0,0,0,0,0
true_4,3610,3293,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
