,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,222617,60932,232,0,0,0,0
true_1,43050,341413,32,0,0,0,0
true_2,13668,1524,14141,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,2427,4476,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
