epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,1.2711239564769061,0.0001,0:02:27,0.709249832087832,0.2538121189564201
1,val,0.9947573351061252,0.0001,0:02:49,0.8068426485442549,0.3394513103823828
2,train,0.9181387417384916,0.0001,0:02:34,0.8118575314319972,0.39604125333013374
2,val,0.8615476372986073,0.0001,0:02:57,0.8201964534259626,0.3943814225796131
3,train,0.8386310074895316,0.0001,0:04:13,0.8202656884128876,0.4159993364221391
3,val,0.819085605940541,0.0001,0:04:43,0.8257156373703316,0.41182553881287753
4,train,0.8103903321473659,0.0001,0:05:45,0.8268619359779295,0.43467279734411585
4,val,0.8002021765527916,0.0001,0:06:16,0.8321119384770347,0.4336076292253442
5,train,0.7943893765096579,0.0001,0:05:46,0.8315581192313818,0.4473296956442968
5,val,0.7879170929368405,0.0001,0:06:16,0.8352381290825194,0.4465443159284952
6,train,0.7843217306618803,0.0001,0:05:40,0.8349295459040795,0.459469188829978
6,val,0.7848641835417483,0.0001,0:06:09,0.8365774876627912,0.4452572864241914
