,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,238616,44916,249,0,0,0,0
true_1,42852,341629,14,0,0,0,0
true_2,20028,1214,8091,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,4141,2762,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
