,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,231514,50680,1587,0,0,0,0
true_1,48195,335731,569,0,0,0,0
true_2,3188,1274,24871,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,6464,439,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
