,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,232287,49952,1542,0,0,0,0
true_1,53737,330026,732,0,0,0,0
true_2,4503,1076,23754,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,4199,2704,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
