epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,0.709724084836652,0.01,0:03:14,0.7243657971262814,0.2857412247964359
1,val,0.8644417901896155,0.01,0:04:03,0.6037072474599613,0.16240491957962758
2,train,0.6431887658486944,0.01,0:02:50,0.7413476070148711,0.31576697743836313
2,val,0.6974791892095453,0.01,0:03:22,0.7129116136556727,0.2578454752835253
3,train,0.6383190081040038,0.01,0:02:47,0.7440010598485877,0.31810259499263355
3,val,0.7726900162408014,0.01,0:03:19,0.6729922678962874,0.19053942633060797
4,train,0.6372794456590556,0.01,0:02:49,0.7454192895588603,0.3202737091535308
4,val,0.6832666364336274,0.01,0:03:22,0.7351551001310781,0.25084498347593115
5,train,0.6391147153335816,0.01,0:02:44,0.7442691164781804,0.3190872667744121
5,val,0.7533331982450805,0.01,0:03:15,0.710785902457419,0.2369026416652292
6,train,0.6390821987664043,0.01,0:02:46,0.7437358770523185,0.32129954705343816
6,val,0.750073541831923,0.01,0:03:18,0.6967721463902434,0.25309715905605046
7,train,0.6388105409064282,0.01,0:02:46,0.7445605051088506,0.3193312502607885
7,val,0.6438153876705834,0.01,0:03:19,0.7404658177107902,0.2948712459746161
8,train,0.6396300826146682,0.01,0:02:46,0.7439641735859931,0.3231482788177558
8,val,0.6524410780201377,0.01,0:03:18,0.7456312364114552,0.31812679309678915
9,train,0.6382476893459936,0.01,0:02:47,0.7450118024343703,0.3234593904955075
9,val,0.7041006104291755,0.01,0:03:19,0.7250288778021108,0.28710834303986693
10,train,0.6368597257094007,0.01,0:02:45,0.746089573444097,0.32704821889177726
10,val,0.7949999767102155,0.01,0:03:18,0.6552140358002356,0.21832427368204985
11,train,0.6374790273746983,0.01,0:03:04,0.7458632906382924,0.32302970861042635
11,val,0.6985024401586349,0.01,0:03:43,0.7461980306132239,0.3093587370236767
12,train,0.6379251774288554,0.01,0:03:02,0.7446894093132838,0.3245193345411338
12,val,0.9245069486253981,0.01,0:03:38,0.6037777228744181,0.1937887436644357
13,train,0.6424778477907102,0.01,0:03:02,0.7419765533571315,0.3232147086174349
13,val,0.7074054017537575,0.01,0:03:41,0.7203881323563814,0.27912108841401195
14,train,0.6294655604856799,0.005,0:03:02,0.7494208100370229,0.334210400250376
14,val,0.6490443692700779,0.005,0:03:39,0.7471292494724127,0.3261885270316484
15,train,0.6305702115569267,0.005,0:03:05,0.7483406966375651,0.3340659689179109
15,val,0.6793634668496757,0.005,0:03:44,0.7251807819264304,0.297845805192037
16,train,0.6290172337108259,0.005,0:03:04,0.7501907650690025,0.3300283144471983
16,val,0.7289569831795574,0.005,0:03:42,0.6750680051595194,0.2954889798561798
17,train,0.6271567761839006,0.005,0:03:05,0.7502200205005722,0.3328046657221276
17,val,0.7097859035665238,0.005,0:03:47,0.6938611928297951,0.24406189660483765
18,train,0.6303191769040429,0.005,0:03:06,0.7488889702675404,0.3338928321341392
18,val,0.7538235351027661,0.005,0:03:42,0.6841159555006586,0.2639457284518842
19,train,0.6261995299573226,0.005,0:03:01,0.7507822925637523,0.3325574558022865
19,val,0.6362316455851296,0.005,0:03:39,0.7490717313198745,0.30546370487064395
20,train,0.624592893615183,0.005,0:03:01,0.7516612967235808,0.33294203356966084
20,val,0.664466735070876,0.005,0:03:39,0.7451276311801199,0.2878024872871373
21,train,0.6241505952430818,0.005,0:03:21,0.7525056756617173,0.3294614522409502
21,val,0.6616334536520635,0.005,0:04:08,0.7279954686438729,0.3245599950613175
22,train,0.6289553375242566,0.005,0:05:08,0.7503319613096855,0.3366311409757569
22,val,0.6380661900906421,0.005,0:05:57,0.7518413807126354,0.3226035979148637
23,train,0.62638150952995,0.005,0:05:09,0.7514521747620911,0.32978623359657505
23,val,0.6479551767452968,0.005,0:05:55,0.7440334173944017,0.31850974906846463
24,train,0.6239911004748427,0.005,0:05:07,0.7523686414545776,0.34121598397280445
24,val,0.672494670683292,0.005,0:05:53,0.7282751109325014,0.3071821153970575
25,train,0.6266054068512159,0.005,0:05:09,0.7518101554178255,0.33538044443536646
25,val,0.7236702598878546,0.005,0:05:54,0.6953761467034125,0.3234268284499163
26,train,0.6197759013594712,0.0025,0:05:07,0.7532730982932528,0.33907704616624085
26,val,0.630740582638004,0.0025,0:05:55,0.7555829635998816,0.3211807296267829
27,train,0.6189327085714759,0.0025,0:05:09,0.7538563971198325,0.3331836639024433
27,val,0.7568572457620936,0.0025,0:05:54,0.6703687529100367,0.2926612395395401
28,train,0.6186277523769644,0.0025,0:05:19,0.7546328475035311,0.33884938468079867
28,val,0.7054029485832682,0.0025,0:06:07,0.6994681102172202,0.290079849051414
29,train,0.6195097926151796,0.0025,0:05:10,0.7543495033353262,0.33463248873197743
29,val,0.725819498226772,0.0025,0:05:55,0.7085966405881909,0.24521312737085182
30,train,0.6187529269914573,0.0025,0:03:08,0.7542118432695774,0.336288751342502
30,val,0.6557559942447583,0.0025,0:03:42,0.7441492337739041,0.34691183605216125
31,train,0.6178027398321014,0.0025,0:02:51,0.7550904525314159,0.33400034383013133
31,val,0.6578236150454326,0.0025,0:03:27,0.7309491067145952,0.3025585906815265
32,train,0.6182397829104902,0.0025,0:02:51,0.75460160357128,0.3392452853333639
32,val,0.6281820475946934,0.0025,0:03:27,0.7527575443967142,0.34284984712790373
33,train,0.6207119513360846,0.0025,0:02:51,0.7536244670838639,0.33394023962011427
33,val,0.6390863787834745,0.0025,0:03:26,0.7464359368127375,0.33957950594028163
34,train,0.6180689652472213,0.0025,0:02:53,0.7552601827296852,0.33803512395097307
34,val,0.6229027419972487,0.0025,0:03:27,0.7589228766490611,0.32900384065537863
35,train,0.6161001910073957,0.0025,0:02:56,0.7558576556352469,0.3420077649259693
35,val,0.6220791002058869,0.0025,0:03:33,0.7545821551521888,0.3073113133685387
36,train,0.6186474459956054,0.0025,0:02:57,0.754903883105971,0.3400691689221762
36,val,0.643715160851983,0.0025,0:03:31,0.7413695346878235,0.3146831952447367
37,train,0.6178928065040238,0.0025,0:02:54,0.7543897620912982,0.33441702257528205
37,val,0.662852562168365,0.0025,0:03:27,0.733490953332895,0.3358745779716097
38,train,0.6167006819859792,0.0025,0:02:53,0.7563889282258992,0.3407357993713107
38,val,0.6185297515254974,0.0025,0:03:28,0.7551491106868794,0.3313395060029512
39,train,0.6181387096279405,0.0025,0:02:48,0.7553319038830011,0.33796332487771913
39,val,0.7381365607528132,0.0025,0:03:21,0.6941237820613343,0.2459956613492407
40,train,0.618184821721389,0.0025,0:02:43,0.755810921835246,0.3405907355585914
40,val,0.7118107681523103,0.0025,0:03:15,0.6993994178069978,0.3010164411582654
41,train,0.6177303437039025,0.0025,0:02:43,0.7555137240835526,0.3362877871306197
41,val,0.7836651629515461,0.0025,0:03:17,0.6642055394114746,0.2852398952668129
42,train,0.6180350237767978,0.0025,0:02:50,0.7552536940291283,0.3386640885593317
42,val,0.6280270536497966,0.0025,0:03:21,0.7461768564935525,0.3219857160201815
43,train,0.6169903054612035,0.0025,0:02:46,0.7561703967001226,0.3410970707583561
43,val,0.6995892587186558,0.0025,0:03:20,0.7241017386295119,0.3302453847426474
44,train,0.6195999766073041,0.0025,0:02:49,0.7539150446466425,0.3366780899152696
44,val,0.6279718373096861,0.0025,0:03:23,0.7486091968072368,0.31631501805253065
45,train,0.6119694902031837,0.00125,0:02:47,0.757606763086448,0.3398702857162977
45,val,0.6825521249821486,0.00125,0:03:23,0.7105128408894914,0.3045486398490079
46,train,0.6135133227998174,0.00125,0:02:55,0.7574124362807968,0.3428538422275196
46,val,0.6820393910323812,0.00125,0:03:31,0.7141470499096934,0.29852517341933915
47,train,0.6125585591883579,0.00125,0:02:50,0.7579559927610093,0.3426812233685581
47,val,0.6186676848188527,0.00125,0:03:24,0.753988079494288,0.3201443059183934
48,train,0.6113005354680728,0.00125,0:02:56,0.7593063715268535,0.3464934634036772
48,val,0.6376996910066411,0.00125,0:03:31,0.7410887908396459,0.30444941941337
49,train,0.6111466415883212,0.00125,0:02:53,0.7583896097431643,0.34241191207004795
49,val,0.6255829200372383,0.00125,0:03:27,0.7514301579882748,0.3282855899838808
50,train,0.6139764307001,0.00125,0:02:47,0.7576880097467933,0.34238034977736587
50,val,0.6468036785084809,0.00125,0:03:18,0.7445819827860625,0.34248612750518986
51,train,0.6070842086068472,0.000625,0:02:39,0.76063304547234,0.3445422485170682
51,val,0.6082007426557653,0.000625,0:03:13,0.7590015279536476,0.33352070026201747
52,train,0.6083779295272425,0.000625,0:02:36,0.7604700192518854,0.34251001506758505
52,val,0.6078301752571778,0.000625,0:03:07,0.7620812195089907,0.34550127427871913
53,train,0.6083474225358784,0.000625,0:02:33,0.7607638942758491,0.3437653355725963
53,val,0.6299298987232786,0.000625,0:03:02,0.7426199402661976,0.3248461278865274
54,train,0.6085405492593684,0.000625,0:02:31,0.7604211656399472,0.34341009600243577
54,val,0.6021231858717331,0.000625,0:03:01,0.7620420225639708,0.33865167273115965
55,train,0.6086214862667951,0.000625,0:02:28,0.7602146116763934,0.34452544912799193
55,val,0.6161816720030728,0.000625,0:02:59,0.7545288880580839,0.3184671890009628
56,train,0.6083901212253993,0.000625,0:02:29,0.760057540351544,0.34460712392737897
56,val,0.6361042533815645,0.000625,0:02:59,0.7448614885221123,0.3302705818610452
57,train,0.6064817864102238,0.000625,0:02:33,0.7612400878062143,0.3457309005381684
57,val,0.619639602288257,0.000625,0:03:02,0.7562761334012219,0.3297334154273126
58,train,0.6072469173425414,0.000625,0:02:28,0.760846346784008,0.34129883902385394
58,val,0.6096513851540064,0.000625,0:03:00,0.7592998195509053,0.3253781853443838
59,train,0.6068870137138468,0.000625,0:02:29,0.7613584254590069,0.3447890402500131
59,val,0.6105285188234527,0.000625,0:02:59,0.7582930237236816,0.33601705904820706
60,train,0.6072038415832935,0.000625,0:02:33,0.7613658020700232,0.3442522887154041
60,val,0.6172933130693978,0.000625,0:03:03,0.7525797023063329,0.3405150993318128
61,train,0.6050140361614297,0.0003125,0:02:29,0.7619156494475938,0.3435247246386313
61,val,0.6047109382580287,0.0003125,0:02:59,0.7606602700792694,0.34189180167304895
62,train,0.6056713855042242,0.0003125,0:02:31,0.762171530711765,0.3448375840122529
62,val,0.6219789209706611,0.0003125,0:03:02,0.7509772965057708,0.32534538947487257
63,train,0.6047198615006465,0.0003125,0:02:33,0.7621852708909723,0.3468718375455983
63,val,0.6041815244024157,0.0003125,0:03:03,0.7623461346202094,0.3368659637306444
64,train,0.6056335864778634,0.0003125,0:02:28,0.7619181196262199,0.3418136967924728
64,val,0.6159582065953577,0.0003125,0:02:58,0.7521160620335876,0.3352612733083465
65,train,0.6051826908785977,0.0003125,0:02:28,0.7619779204015646,0.34066367115900437
65,val,0.6124246513160823,0.0003125,0:02:57,0.7579685176022869,0.33577388993759993
66,train,0.6053748778991472,0.0003125,0:02:31,0.7618225616328824,0.34900858262341655
66,val,0.6102152360825477,0.0003125,0:03:01,0.7552513082658208,0.3390646626953639
67,train,0.6034448624208211,0.00015625,0:02:33,0.7625428479116874,0.344046950478017
67,val,0.6055163079056533,0.00015625,0:03:03,0.7611756367757387,0.3428326209920687
68,train,0.6029837057117425,0.00015625,0:02:28,0.7628611819151409,0.3446603522477035
68,val,0.5995468884376945,0.00015625,0:02:58,0.7632114240233507,0.33932814379300313
69,train,0.6036326794114275,0.00015625,0:02:35,0.7627455104731538,0.34488789932528674
69,val,0.6187659181921292,0.00015625,0:03:07,0.7560955883843176,0.3303656411172927
70,train,0.6031566535572519,0.00015625,0:02:42,0.7630318563029332,0.34792987165493555
70,val,0.6030233636864893,0.00015625,0:03:13,0.7625326275687777,0.3459923182566344
71,train,0.6030685031480937,0.00015625,0:02:27,0.7630190920144979,0.34677250596232523
71,val,0.6063982016144265,0.00015625,0:02:57,0.7621929252830388,0.33133065686266816
72,train,0.6035931092868665,0.00015625,0:02:28,0.7632397744434428,0.34784988768720987
72,val,0.6082005688588913,0.00015625,0:02:58,0.7590262417373022,0.3400064867545048
73,train,0.6027530257006847,0.00015625,0:02:29,0.762804506851447,0.3479188932920691
73,val,0.6051043753951351,0.00015625,0:02:59,0.7605805231470699,0.33577916891804266
74,train,0.6034509878459249,0.00015625,0:02:31,0.7629109076557871,0.3432948852813295
74,val,0.5986525693689759,0.00015625,0:03:01,0.7635918305167705,0.3387533061269054
