,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
true_0,188251,42042,53488,0,0,0,0
true_1,66552,234550,83390,0,0,3,0
true_2,448,6016,22869,0,0,0,0
true_3,0,0,0,0,0,0,0
true_4,5377,1526,0,0,0,0,0
true_5,0,0,0,0,0,0,0
true_6,0,0,0,0,0,0,0
