epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,0.8957846755830319,3.9999999999999996e-05,0:01:14,0.6129777290593598,0.17611524771644402
1,val,0.8877489643042622,3.9999999999999996e-05,0:01:21,0.6844775257655192,0.16736838204334584
2,train,0.8478898713989359,4.000013071864337e-05,0:00:56,0.7216537566262136,0.23862621791294283
2,val,,4.000013071864337e-05,0:01:01,0.712183235688736,0.25796669891544016
3,train,,,0:00:50,0.35281744598358444,0.07290064041942762
3,val,,,0:00:55,0.3524173245972622,0.07076169350597208
4,train,,,0:00:50,0.3518564999398716,0.07340936950623458
4,val,,,0:00:56,0.3524173245972622,0.07076169350597208
5,train,,,0:00:50,0.3519709912335058,0.07238800523107145
5,val,,,0:00:55,0.3524173245972622,0.07076169350597208
6,train,,,0:00:56,0.3519054751618147,0.07243691787699262
6,val,,,0:01:01,0.3524173245972622,0.07076169350597208
7,train,,,0:00:50,0.35181208371565104,0.07195854363129768
7,val,,,0:00:56,0.3524173245972622,0.07076169350597208
8,train,,,0:00:50,0.3518784435797383,0.07205938531369335
8,val,,,0:00:56,0.3524173245972622,0.07076169350597208
9,train,,,0:00:50,0.3517701182675543,0.07228719565332349
9,val,,,0:00:55,0.3524173245972622,0.07076169350597208
10,train,,,0:00:50,0.3518630311448962,0.07239360413208146
10,val,,,0:00:56,0.3524173245972622,0.07076169350597208
11,train,,,0:00:50,0.3518413897590222,0.0721561461342723
11,val,,,0:00:56,0.3524173245972622,0.07076169350597208
12,train,,,0:01:19,0.35199983130197154,0.07218100743035587
12,val,,,0:01:28,0.3524173245972622,0.07076169350597208
13,train,,,0:02:03,0.35182990662608454,0.0724745629820819
13,val,,,0:02:11,0.3524173245972622,0.07076169350597208
14,train,,,0:02:00,0.35191902873460196,0.07274272586300493
14,val,,,0:02:08,0.3524173245972622,0.07076169350597208
15,train,,,0:01:59,0.35200127708356976,0.07195373378834263
15,val,,,0:02:14,0.3524173245972622,0.07076169350597208
16,train,,,0:01:55,0.3519160716830405,0.07258853772836536
16,val,,,0:02:03,0.3524173245972622,0.07076169350597208
17,train,,,0:01:57,0.3517787123560787,0.07232318789544141
17,val,,,0:02:06,0.3524173245972622,0.07076169350597208
18,train,,,0:01:58,0.3519152127779447,0.07197226470317256
18,val,,,0:02:14,0.3524173245972622,0.07076169350597208
19,train,,,0:01:54,0.35190404953048265,0.07201705922699478
19,val,,,0:02:02,0.3524173245972622,0.07076169350597208
20,train,,,0:01:54,0.35182634758532105,0.07150665692033135
20,val,,,0:01:59,0.3524173245972622,0.07076169350597208
21,train,,,0:00:50,0.3518006358456793,0.07236620763143953
21,val,,,0:01:03,0.3524173245972622,0.07076169350597208
